"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
US48,"4/18/2024 12 a.m. EDT",428383.16,422856.3,428212.16,2545
US48,"4/18/2024 1 a.m. EDT",407992.27,398790.2,407293.27,1953
US48,"4/18/2024 2 a.m. EDT",390665.37,381172.6,392086.37,2632
US48,"4/18/2024 3 a.m. EDT",376783.2,366555.1,377632.2,2685
US48,"4/18/2024 4 a.m. EDT",367888.49,362506.1,368208.49,2343
US48,"4/18/2024 5 a.m. EDT",366138.21,363156.1,365818.21,2293
US48,"4/18/2024 6 a.m. EDT",372757.44,375419.8,373222.44,2604
US48,"4/18/2024 7 a.m. EDT",391228.81,393146.6,391531.81,2281
US48,"4/18/2024 8 a.m. EDT",412152.33,411540.9,411098.33,1195
US48,"4/18/2024 9 a.m. EDT",425490.62,424327.2,425884.62,3090
US48,"4/18/2024 10 a.m. EDT",435383.67,435626.3,434459.67,2136
US48,"4/18/2024 11 a.m. EDT",445062.42,443865.4,444086.42,2260
US48,"4/18/2024 12 p.m. EDT",453581.42,451087.2,451854.42,2021
US48,"4/18/2024 1 p.m. EDT",460589.22,457701,460712.22,2435
US48,"4/18/2024 2 p.m. EDT",468780.27,464150.2,468950.27,2121
US48,"4/18/2024 3 p.m. EDT",475731.73,471412.9,476042.73,2364
US48,"4/18/2024 4 p.m. EDT",483097.48,477663.4,482993.48,2080
US48,"4/18/2024 5 p.m. EDT",490945.69,483591.8,491434.69,2213
US48,"4/18/2024 6 p.m. EDT",496710.52,487191.4,497158.52,2111
US48,"4/18/2024 7 p.m. EDT",495979.93,486885,495837.93,2133
US48,"4/18/2024 8 p.m. EDT",489933.16,483529.4,490408.16,1829
US48,"4/18/2024 9 p.m. EDT",485128.26,478537.1,486368.26,1290
US48,"4/18/2024 10 p.m. EDT",475444.28,467883.6,478553.28,2103
US48,"4/18/2024 11 p.m. EDT",455523,449022.3,456297,2367
US48,"4/19/2024 12 a.m. EDT",432281.56,425375.8,432783.56,3093
US48,"4/19/2024 1 a.m. EDT",409498.77,402418.4,409830.77,3499
US48,"4/19/2024 2 a.m. EDT",390437.45,383846.2,391637.45,3094
US48,"4/19/2024 3 a.m. EDT",375608.44,370606.3,375641.44,2815
US48,"4/19/2024 4 a.m. EDT",367260.93,363392.5,366726.93,2348
US48,"4/19/2024 5 a.m. EDT",364540.67,364463.3,364131.67,2312
US48,"4/19/2024 6 a.m. EDT",369746.61,376336.4,369590.61,2514
US48,"4/19/2024 7 a.m. EDT",387942.08,393493.9,387478.08,2484
US48,"4/19/2024 8 a.m. EDT",406898.35,409561,405880.35,2179
US48,"4/19/2024 9 a.m. EDT",418612.07,421545.6,418237.07,3168
US48,"4/19/2024 10 a.m. EDT",427117.52,430400.3,426585.52,3555
US48,"4/19/2024 11 a.m. EDT",434304.5,435852.1,434099.5,3503
US48,"4/19/2024 12 p.m. EDT",440971.17,438506.9,440021.17,3267
US48,"4/19/2024 1 p.m. EDT",445148.65,440141.3,445029.65,3312
US48,"4/19/2024 2 p.m. EDT",449622.24,442509.1,450956.24,3648
US48,"4/19/2024 3 p.m. EDT",452902.01,445717,454235.01,3442
US48,"4/19/2024 4 p.m. EDT",445479.47,449318.8,446390.47,3411
US48,"4/19/2024 5 p.m. EDT",458833.98,453823.9,460266.98,3507
US48,"4/19/2024 6 p.m. EDT",462122.94,457040,463377.94,3240
US48,"4/19/2024 7 p.m. EDT",461010.48,457249.4,462021.48,2946
US48,"4/19/2024 8 p.m. EDT",457348.76,455339.9,458475.76,2388
US48,"4/19/2024 9 p.m. EDT",455483.02,452688.7,457996.02,1824
US48,"4/19/2024 10 p.m. EDT",449626.92,445442.5,454139.92,2492
US48,"4/19/2024 11 p.m. EDT",435375.18,430991.2,436227.18,1853
US48,"4/20/2024 12 a.m. EDT",417282.76,411809.7,416585.76,2040
US48,"4/20/2024 1 a.m. EDT",397291.2,393796,396123.2,1423
US48,"4/20/2024 2 a.m. EDT",380904.51,377549.7,381574.51,1423
US48,"4/20/2024 3 a.m. EDT",369599.94,363622.9,369921.94,1693
US48,"4/20/2024 4 a.m. EDT",360864.67,357439.2,359844.67,1522
US48,"4/20/2024 5 a.m. EDT",356313.59,354153.8,355117.59,1151
US48,"4/20/2024 6 a.m. EDT",355915.24,355703.8,355289.24,1176
US48,"4/20/2024 7 a.m. EDT",360553.14,361923.2,359293.14,793
US48,"4/20/2024 8 a.m. EDT",369382.16,371321.9,367906.16,783
US48,"4/20/2024 9 a.m. EDT",382452.6,383109.3,380554.6,352
US48,"4/20/2024 10 a.m. EDT",394996.44,394568.7,391993.44,521
US48,"4/20/2024 11 a.m. EDT",405542.4,402675.9,401063.4,342
US48,"4/20/2024 12 p.m. EDT",413702.16,407172.7,410401.16,584
US48,"4/20/2024 1 p.m. EDT",419022.06,408667.7,417069.06,288
US48,"4/20/2024 2 p.m. EDT",422464.31,408825.9,421124.31,322
US48,"4/20/2024 3 p.m. EDT",423236,409917.7,421891,251
US48,"4/20/2024 4 p.m. EDT",424420.26,412241.2,423430.26,981
US48,"4/20/2024 5 p.m. EDT",426496.71,416293.6,425994.71,1097
US48,"4/20/2024 6 p.m. EDT",429602.69,421126.1,429309.69,-4303
US48,"4/20/2024 7 p.m. EDT",430200.53,424823.9,429847.53,-4564
US48,"4/20/2024 8 p.m. EDT",428435.3,427137.1,429245.3,-3930
US48,"4/20/2024 9 p.m. EDT",430059.42,428292.6,432076.42,1787
US48,"4/20/2024 10 p.m. EDT",425894.3,425211.3,430238.3,3212
US48,"4/20/2024 11 p.m. EDT",414405.04,413635.3,416060.04,3552
US48,"4/21/2024 12 a.m. EDT",399101.93,398417.3,399041.93,3518
US48,"4/21/2024 1 a.m. EDT",382657.22,381243.5,382770.22,3854
US48,"4/21/2024 2 a.m. EDT",369239.76,365928.5,370909.76,3836
US48,"4/21/2024 3 a.m. EDT",359350.23,351720.8,359641.23,3912
US48,"4/21/2024 4 a.m. EDT",352503.68,348424.8,351925.68,3853
US48,"4/21/2024 5 a.m. EDT",348716.84,346370.9,347646.84,3079
US48,"4/21/2024 6 a.m. EDT",347160.96,348421.5,346388.96,3037
US48,"4/21/2024 7 a.m. EDT",351680.03,353647.3,351351.03,3317
US48,"4/21/2024 8 a.m. EDT",358259.44,361362,357236.44,2708
US48,"4/21/2024 9 a.m. EDT",368940.43,370858.2,366948.43,2440
US48,"4/21/2024 10 a.m. EDT",380486.57,379607.5,377495.57,2177
US48,"4/21/2024 11 a.m. EDT",388387.41,385569.4,383014.41,1603
US48,"4/21/2024 12 p.m. EDT",393065.78,386857.4,388985.78,1402
US48,"4/21/2024 1 p.m. EDT",395762.23,387784.7,393665.23,1454
US48,"4/21/2024 2 p.m. EDT",397773.16,387678.6,395856.16,1308
US48,"4/21/2024 3 p.m. EDT",400733.99,388344,397210.99,442
US48,"4/21/2024 4 p.m. EDT",398565.79,391288,397395.79,1485
US48,"4/21/2024 5 p.m. EDT",402534.66,396969,401235.66,1256
US48,"4/21/2024 6 p.m. EDT",408489.58,404874,407692.58,1374
US48,"4/21/2024 7 p.m. EDT",413311.99,413222.5,412751.99,1122
US48,"4/21/2024 8 p.m. EDT",420669.6,421288.6,420132.6,500
US48,"4/21/2024 9 p.m. EDT",429411.3,427225.1,430058.3,41
US48,"4/21/2024 10 p.m. EDT",430375.96,425433,431204.96,924
US48,"4/21/2024 11 p.m. EDT",419766.58,413968.2,419060.58,1780
US48,"4/22/2024 12 a.m. EDT",402961.36,398179.9,402711.36,2431
US48,"4/22/2024 1 a.m. EDT",387412.3,383369.1,386855.3,2195
US48,"4/22/2024 2 a.m. EDT",374777.31,371587.4,375032.31,1651
