aplicativo,comentario,nota,data
iFood,depois que inventaram ifood nem vou pra restaurantes mais,5,2026-06-23 16:32:49
iFood,ifood e vida amo muito,5,2026-06-23 16:29:47
iFood,Não está existindo a devolução do dinheiro quando se compra um item que está em falta. Esse é um erro do ifood e um desrespeito para com o consumidor.,2,2026-06-23 16:23:39
iFood,O suporte deixou a desejar em vários momentos.,3,2026-06-23 16:15:21
iFood,muito prático e resolve a necessidade recomendo,5,2026-06-23 16:06:43
iFood,muito bom,5,2026-06-23 15:59:13
iFood,"tento cadastrar o meu cartão Swile vai voucher, fala q tem dados errados e sabendo q os dados estão corretos",1,2026-06-23 15:53:41
iFood,muito bom quando achamos coisas baratas para almoço todos os dias,5,2026-06-23 15:47:31
iFood,aplicativo muito bom,5,2026-06-23 15:40:22
iFood,"App funcionando bem e mesmo tendo centenas de opções e telas, é bem intuitivo e fácil de usar para mim.",5,2026-06-23 15:30:43
iFood,"sempre bem atendida, entrega rápida",5,2026-06-23 15:23:51
iFood,Cada dia mais difícil usar o app de tanta pop up e poluição visual que aparece.,1,2026-06-23 15:21:16
iFood,praticidade,5,2026-06-23 15:11:25
iFood,"tem algumas ofertas enganosas. 5,00 reais o lanche, daí vc olha o valor da entrega 15,00. 🤣🤣🧐",3,2026-06-23 15:09:28
iFood,excelente atendimento,5,2026-06-23 15:06:33
iFood,"deus me livre ja desinstalei, cancelei o pedido e nao tive reembolso sendo que o pedido era ate uma pacote de pipoca do mercado, mo roubo eu vou voltar para o delivery much q e melhor",1,2026-06-23 14:59:39
iFood,Ótimas promoções,5,2026-06-23 14:50:31
iFood,"Antes tinha dificuldade, agora nao mais.",5,2026-06-23 14:37:16
iFood,boa,5,2026-06-23 14:31:02
iFood,ok,4,2026-06-23 14:25:38
iFood,"muito fácil e prático de fazer os pedidos, so gostaria que na minha região tivesse mais entregas com rastreamento, até porque e bom saber onde está meu pedido.",4,2026-06-23 14:22:09
iFood,"BOM E Prático , FAÇO PEDIDOS E SOU BEM ATENDIDO",5,2026-06-23 14:21:37
iFood,"fácil, prático e contém muitas promoções muito boa",5,2026-06-23 14:14:51
iFood,otimo,5,2026-06-23 14:11:54
iFood,"Estou com raiva,descontaram do meu cartão 5,95 do clube ifood sem minha permissão, eu não uso o clube e simplesmente foi descontado sem me informarem se isso que eu queria,quero reembolso,quero meu dinheiro de volta",1,2026-06-23 13:56:23
iFood,"Comprei uma pelúcia, um canarinho do iFood achei que seria entregue no mesmo dia tentei cancelar no mesmo dia, mas não consegui esperei o tempo da entrega que já passou e não foi entregue para minha casa, quero o meu dinheiro de volta até agora tive nenhuma resposta ou solução pro meu problema",2,2026-06-23 13:44:04
iFood,"Valores falsos, um lanche no Biggs, frango duplo nao é 31 reais igual tá falando na promoção, de 31 reais por 17 reais, isso é enganação.",1,2026-06-23 13:16:10
iFood,muito bom e barato,5,2026-06-23 13:11:20
iFood,melhor não pode existir parabéns pelo atendimento Lúcio Emmanoel Guedes obrigado,5,2026-06-23 13:03:59
iFood,boas opções e bons preços,5,2026-06-23 12:43:12
iFood,"demitam o programador novo e burro que utiliza IA para programar e voltem com. a equipe que não é burra e sabe trabalhar. não bastasse todo click gerar 30 pop up's invasivas e irritantes, agora você paga e o pedido fica travado, isso quando não cancela mesmo você pagando. burros tem que puxar caroça e não programar.",1,2026-06-23 11:00:01
iFood,É muito bom esse app. rapidez e eficiência nas entregas.,5,2026-06-23 10:15:07
iFood,Com justificativas frágeis a empresa não resolve suas pendências com clientes.,1,2026-06-23 06:27:27
iFood,ótimo,5,2026-06-23 05:35:25
iFood,excelente app 10/10,5,2026-06-23 04:35:49
iFood,muito bom,5,2026-06-23 04:31:02
iFood,top,5,2026-06-23 03:54:41
iFood,pior app como a pessoa tem um app desse horrível,1,2026-06-23 03:51:32
iFood,muito útil 👍🏻,5,2026-06-23 03:27:31
iFood,este app não está funcionando normal previsto,5,2026-06-23 03:25:56
iFood,"clube ifood é a maior farsa, os valores sao os mesmos, mas quando vc paga pelo clube todos os valores aumentam, entao vc ganha um ""desconto"" falso.",1,2026-06-23 03:13:32
iFood,"muito bom,as vezes tenho umas revoltas mais tá valendo",5,2026-06-23 03:10:51
iFood,trabalho yothb,5,2026-06-23 02:57:41
iFood,eh bom dmsssss,5,2026-06-23 02:23:33
iFood,ótimo 👍,5,2026-06-23 02:17:24
iFood,ótimo😍,5,2026-06-23 01:52:54
iFood,É um ótimo app de boa qualidade 😁 sempre os melhores lanches e preços vou continuar comprando,5,2026-06-23 01:42:37
iFood,"O app é ótimo, sempre tem promoção. Gosto bastante",5,2026-06-23 01:42:07
iFood,"um bom app, mas erra muito no design, os pedidos que estou pesquisando pra comprar deveria alterar e deixar parecido com a 99 os lanches aparece como opção e não tendo que entrar na loja,",3,2026-06-23 01:41:33
iFood,"meu que atualização horrível e música insuportável no app. Estou ouvindo música no carro enquanto volto pra casa e minha namorada faz o pedido no ifood, nao consigo nem ouvir a música nem o waze com essa música insuportável",1,2026-06-23 01:40:43
iFood,ótimo aplicativo,5,2026-06-23 01:39:03
iFood,🥰,5,2026-06-23 01:32:19
iFood,top,5,2026-06-23 01:28:49
iFood,amo esse app ainda mais as promo que da,5,2026-06-23 01:27:29
iFood,o aplicativo é muito bom,5,2026-06-23 01:23:26
iFood,"adoro,quando quero comer algo de diferente sem gastar muito sempre escolho ifood",5,2026-06-23 01:22:30
iFood,app show de bola,5,2026-06-23 01:09:26
iFood,facilita muito a vida,5,2026-06-23 00:58:01
iFood,"Clube Ifood é uma farsa. Promoções fake. Tudo caro nesse aplicativo. Eles bloqueiam uso de cupom em ""promoções"" dele para enganar o consumidor. Péssimo, não recomendo.",1,2026-06-23 00:54:16
iFood,top😍,5,2026-06-23 00:51:39
iFood,Melhor app de delivery,5,2026-06-23 00:45:11
iFood,muito bom,5,2026-06-23 00:39:43
iFood,ótimo,5,2026-06-23 00:39:18
iFood,muito bom,5,2026-06-23 00:38:08
