aplicativo,comentario,nota
iFood,depois que inventaram ifood nem vou pra restaurantes mais,5
iFood,ifood vida amo muito,5
iFood,não está existindo devolução do dinheiro quando se compra um item que está em falta esse um erro do ifood um desrespeito para com consumidor,2
iFood,suporte deixou desejar em vários momentos,3
iFood,muito prático resolve necessidade recomendo,5
iFood,tento cadastrar meu cartão swile vai voucher fala tem dados errados sabendo os dados estão corretos,1
iFood,muito bom quando achamos coisas baratas para almoço todos os dias,5
iFood,app funcionando bem mesmo tendo centenas de opções telas bem intuitivo fácil de usar para mim,5
iFood,sempre bem atendida entrega rápida,5
iFood,cada dia mais difícil usar app de tanta pop up poluição visual que aparece,1
iFood,tem algumas ofertas enganosas reais lanche daí vc olha valor da entrega 🤣🤣🧐,3
iFood,deus me livre ja desinstalei cancelei pedido nao tive reembolso sendo que pedido era ate uma pacote de pipoca do mercado mo roubo eu vou voltar para delivery much melhor,1
iFood,antes tinha dificuldade agora nao mais,5
iFood,muito fácil prático de fazer os pedidos so gostaria que na minha região tivesse mais entregas com rastreamento até porque bom saber onde está meu pedido,4
iFood,bom prático faço pedidos sou bem atendido,5
iFood,fácil prático contém muitas promoções muito boa,5
iFood,estou com raivadescontaram do meu cartão do clube ifood sem minha permissão eu não uso clube simplesmente foi descontado sem me informarem se isso que eu queriaquero reembolsoquero meu dinheiro de volta,1
iFood,comprei uma pelúcia um canarinho do ifood achei que seria entregue no mesmo dia tentei cancelar no mesmo dia mas não consegui esperei tempo da entrega que já passou não foi entregue para minha casa quero meu dinheiro de volta até agora tive nenhuma resposta ou solução pro meu problema,2
iFood,valores falsos um lanche no biggs frango duplo nao reais igual tá falando na promoção de reais por reais isso enganação,1
iFood,melhor não pode existir parabéns pelo atendimento lúcio emmanoel guedes obrigado,5
iFood,boas opções bons preços,5
iFood,demitam programador novo burro que utiliza ia para programar voltem com equipe que não burra sabe trabalhar não bastasse todo click gerar pop ups invasivas irritantes agora você paga pedido fica travado isso quando não cancela mesmo você pagando burros tem que puxar caroça não programar,1
iFood,muito bom esse app rapidez eficiência nas entregas,5
iFood,com justificativas frágeis empresa não resolve suas pendências com clientes,1
iFood,pior app como pessoa tem um app desse horrível,1
iFood,este app não está funcionando normal previsto,5
iFood,clube ifood maior farsa os valores sao os mesmos mas quando vc paga pelo clube todos os valores aumentam entao vc ganha um desconto falso,1
iFood,muito bomas vezes tenho umas revoltas mais tá valendo,5
iFood,um ótimo app de boa qualidade sempre os melhores lanches preços vou continuar comprando,5
iFood,app ótimo sempre tem promoção gosto bastante,5
iFood,um bom app mas erra muito no design os pedidos que estou pesquisando pra comprar deveria alterar deixar parecido com os lanches aparece como opção não tendo que entrar na loja,3
iFood,meu que atualização horrível música insuportável no app estou ouvindo música no carro enquanto volto pra casa minha namorada faz pedido no ifood nao consigo nem ouvir música nem waze com essa música insuportável,1
iFood,amo esse app ainda mais as promo que da,5
iFood,aplicativo muito bom,5
iFood,adoroquando quero comer algo de diferente sem gastar muito sempre escolho ifood,5
iFood,clube ifood uma farsa promoções fake tudo caro nesse aplicativo eles bloqueiam uso de cupom em promoções dele para enganar consumidor péssimo não recomendo,1
iFood,super bom recomendo bom pra não pode sair de casa também ir ora lugar longe comprar bom também que muito barato cheio de ofertas super ipês mega recomendo,5
iFood,fico feliz que tenha aparecido novos apps para acabar com monopolio do ifood tento cancelar clube ifood eles contratam novamente sem minha autorização app todo bugado vive dando erros como não foi possível visualizar estado do seu pedido páginas com carregamento infinito dentre vários outros problemas as promoções cupons são fracos esse tipo de problema milagrosamente eu não tenho com outros apps de delivery então raramente peço no ifood hoje em dia,1
iFood,praticidade para dia dia app atende bem ao cliente,5
iFood,aplicativo com atrasos recorrentes na entrega mesmo com clube aliás atraso de mais de queixa de entrega comida fria sem ressarcimento péssimo atendimento sac poucas promoções ativações não recomendo na dúvida baixa food inclusive avisa quando chega entrega,1
iFood,merece cinco estrelas ótimo rápido,5
iFood,sempre que tenho algum tipo de problema referente pedido aplicativo se prontifica resolver da melhor forma possível de uma maneira rápida,5
iFood,promoções todos os dias muito bom ifood,5
iFood,app cria expectativas falsas promoções que se vc entrar muito no app as promoções somem pq acham que vc vai gastar dinheiro push de cupom falsos pedidos mínimos facilidade dos entregadores darem golpe eles vêem número de telefone usam final como código pegam produto para eles ainda tem punições brandas pouco monitoramento do app em cima das lojas tem lojas com avaliações horríveis sobre limpeza tals app não faz nada além disso app recomenda,1
iFood,muinto bom as promoçao que aparece,4
iFood,gosto desse app atende minhas expectativas,5
iFood,app top cheio de promoções novidades,5
