aplicativo,comentario,nota
iFood,inventaram ifood vou restaurantes,5
iFood,ifood vida amo,5
iFood,existindo devolução dinheiro compra item falta erro ifood desrespeito consumidor,2
iFood,suporte deixou desejar vários momentos,3
iFood,prático resolve necessidade recomendo,5
iFood,tento cadastrar cartão swile vai voucher fala dados errados sabendo dados corretos,1
iFood,bom achamos coisas baratas almoço todos dias,5
iFood,funcionando bem tendo centenas opções telas bem intuitivo fácil usar mim,5
iFood,sempre bem atendida entrega rápida,5
iFood,cada dia difícil usar tanta pop up poluição visual aparece,1
iFood,algumas ofertas enganosas reais lanche daí olha valor entrega 🤣🤣🧐,3
iFood,deus livre ja desinstalei cancelei pedido nao reembolso sendo pedido ate pacote pipoca mercado mo roubo vou voltar delivery much melhor,1
iFood,antes dificuldade agora nao,5
iFood,fácil prático fazer pedidos so gostaria região entregas rastreamento porque bom saber onde pedido,4
iFood,bom prático faço pedidos bem atendido,5
iFood,fácil prático contém muitas promoções boa,5
iFood,raivadescontaram cartão clube ifood permissão uso clube simplesmente descontado informarem queriaquero reembolsoquero dinheiro volta,1
iFood,comprei pelúcia canarinho ifood achei entregue dia tentei cancelar dia consegui esperei tempo entrega passou entregue casa quero dinheiro volta agora nenhuma resposta solução problema,2
iFood,valores falsos lanche biggs frango duplo nao reais igual falando promoção reais reais enganação,1
iFood,melhor pode existir parabéns atendimento lúcio emmanoel guedes obrigado,5
iFood,boas opções bons preços,5
iFood,demitam programador novo burro utiliza ia programar voltem equipe burra sabe trabalhar bastasse todo click gerar pop ups invasivas irritantes agora paga pedido fica travado cancela pagando burros puxar caroça programar,1
iFood,bom rapidez eficiência entregas,5
iFood,justificativas frágeis empresa resolve pendências clientes,1
iFood,pior pessoa desse horrível,1
iFood,funcionando normal previsto,5
iFood,clube ifood maior farsa valores sao mesmos paga clube todos valores aumentam entao ganha desconto falso,1
iFood,bomas vezes umas revoltas valendo,5
iFood,ótimo boa qualidade sempre melhores lanches preços vou continuar comprando,5
iFood,ótimo sempre promoção gosto bastante,5
iFood,bom erra design pedidos pesquisando comprar deveria alterar deixar parecido lanches aparece opção tendo entrar loja,3
iFood,atualização horrível música insuportável ouvindo música carro enquanto volto casa namorada faz pedido ifood nao consigo ouvir música waze música insuportável,1
iFood,amo ainda promo,5
iFood,bom,5
iFood,adoroquando quero comer algo diferente gastar sempre escolho ifood,5
iFood,clube ifood farsa promoções fake tudo caro nesse bloqueiam uso cupom promoções enganar consumidor péssimo recomendo,1
iFood,super bom recomendo bom pode sair casa ir ora lugar longe comprar bom barato cheio ofertas super ipês mega recomendo,5
iFood,fico feliz aparecido novos apps acabar monopolio ifood tento cancelar clube ifood contratam novamente autorização todo bugado vive dando erros possível visualizar estado pedido páginas carregamento infinito dentre vários outros problemas promoções cupons fracos tipo problema milagrosamente outros apps delivery então raramente peço ifood hoje dia,1
iFood,praticidade dia dia atende bem cliente,5
iFood,atrasos recorrentes entrega clube aliás atraso queixa entrega comida fria ressarcimento péssimo atendimento sac poucas promoções ativações recomendo dúvida baixa food inclusive avisa chega entrega,1
iFood,merece cinco estrelas ótimo rápido,5
iFood,sempre algum tipo problema referente pedido prontifica resolver melhor forma possível maneira rápida,5
iFood,promoções todos dias bom ifood,5
iFood,cria expectativas falsas promoções entrar promoções somem pq acham vai gastar dinheiro push cupom falsos pedidos mínimos facilidade entregadores darem golpe vêem número telefone usam final código pegam produto ainda punições brandas pouco monitoramento cima lojas lojas avaliações horríveis sobre limpeza tals faz nada além disso recomenda,1
iFood,muinto bom promoçao aparece,4
iFood,gosto desse atende expectativas,5
iFood,top cheio promoções novidades,5
iFood,aqui fome chance,5
iFood,melhor mundo,5
iFood,excelente entrega dentro prazo,5
iFood,ifood engana cupom clube consegue usar pq lojas pratos promocionais aparece popup promoção entra ver nao consegue comprar dois pratos promocionais mesma loja chato ruim usar ifood gente vai escolher janta fica nervoso raiva desiste,1
iFood,dias fome ai abro promoção incrível amo,5
iFood,top atendimento simples fácil msm tanta pratica compras on line,5
iFood,bom dia amor tudo bem,5
iFood,ache ótimo reclamar acho super prático,5
iFood,adoro facilidade opções qualidade rede proporciona oferecendo melhor rede alimentícia,5
iFood,oo ruim dá mudar endereço,1
iFood,sempre encontro bons restaurantes melhor preço justo,5
iFood,salva sempre tô fominha comidinhas gostosas amoo,5
iFood,excelente nenhuma queixa,5
iFood,fazendo entregador burro carga pet shop depósito bebidas mercados otário aceitar,1
iFood,bom amo entregase nunca veio errado amo muitooooooo hahaha,5
iFood,top reclamações enquanto,5
iFood,excelente ótimas lojas restaurantes,5
iFood,gostaria saber porquê fas pedido hora revisar aparece qr code pagamento melhor,1
iFood,bom muita promoção comida gostosa,5
iFood,cobrou momento algum informado adesão clube ifood,1
iFood,sensacional bom peço sempre,5
iFood,acho ifood demora enviar coisas rastrear pedido aí erro,1
iFood,gosto td bem explicado,5
iFood,fácil usar muitas promoções boas,5
iFood,bom prático ótimo,5
iFood,bom indico suporte sempre resolve caso problemas pedido,5
iFood,decepção descontos totalmente fantasmas acesso clube pode utilizar nenhum desconto lá pq tudo agora valor mínimo tristeza hein partiu food,1
iFood,pedido chega avaliar loja,2
iFood,violador artigo cdc outros tbm gosta violar,1
iFood,bom principalmente questão cupons ofertas acho poderia ter espécie filtro escolher itensestabelecimentos relevantes itens menos preço exemplo,4
iFood,fato delivery emocionante atrativo acho existe outro melhor sempre cuponzinho desconto deixa pagamento agradável consumidor,5
iFood,dois dias úteis splash screen demora ficar mostrando animaçãozinha ridícula trava consigo abrir,3
